dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status,analysis_id,cross_label,intersectional,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells
adult,xgboost,baseline,57,0.8705665591893137,[0.24957864],0.180297942630036,0.0523876546745504,0.0963074274722533,0.0476996687523003,0.180297942630036,0.0523876546745504,0.2143119101927635,0.103728813559322,0.0706105019765793,4,435,1.166917600000005,success,adult_sex_race,sex x race,True,0.180297942630036,0.0523876546745504,0.0963074274722533,0.0476996687523003,0.2143119101927635,0.103728813559322,0.0706105019765793,4
adult,xgboost,baseline,58,0.8679563949025026,[0.25369677],0.172879212026508,0.0785145888594164,0.0597354571812775,0.0266666666666667,0.172879212026508,0.0785145888594164,0.1940489941552178,0.0927391864252707,0.0596638194713694,4,417,1.045969999999997,success,adult_sex_race,sex x race,True,0.172879212026508,0.0785145888594164,0.0597354571812775,0.0266666666666667,0.1940489941552178,0.0927391864252707,0.0596638194713694,4
adult,xgboost,baseline,59,0.8595117457392907,[0.26310592],0.1755734249520477,0.0913677789087195,0.0769257107574864,0.040735351855701,0.1755734249520477,0.0913677789087195,0.2203016142130533,0.206024206024206,0.0739677204990768,4,444,0.931516699999996,success,adult_sex_race,sex x race,True,0.1755734249520477,0.0913677789087195,0.0769257107574864,0.040735351855701,0.2203016142130533,0.206024206024206,0.0739677204990768,4
adult,xgboost,baseline,60,0.8687240902809765,[0.23905127],0.1757339063917916,0.0369934096286442,0.0769659099498601,0.0353185304275893,0.1757339063917916,0.0369934096286442,0.2141907671135762,0.1062106735026801,0.073980063713904,4,398,0.8454953999999972,success,adult_sex_race,sex x race,True,0.1757339063917916,0.0369934096286442,0.0769659099498601,0.0353185304275893,0.2141907671135762,0.1062106735026801,0.073980063713904,4
adult,xgboost,baseline,61,0.8697988638108398,[0.23878962],0.1760127710663337,0.041289592760181,0.0743483472539817,0.0036082243659514,0.1760127710663337,0.041289592760181,0.1986415961704455,0.1212121212121212,0.0604189286835961,4,423,0.8610443000000032,success,adult_sex_race,sex x race,True,0.1760127710663337,0.041289592760181,0.0743483472539817,0.0036082243659514,0.1986415961704455,0.1212121212121212,0.0604189286835961,4
adult,xgboost,baseline,62,0.8639643789344388,[0.26173034],0.1815263521547501,0.0885248614213617,0.0885786232104173,0.1393465909090909,0.1815263521547501,0.1393465909090909,0.2134066214254893,0.1730462519936204,0.070345113068354,4,424,0.8730924000000044,success,adult_sex_race,sex x race,True,0.1815263521547501,0.0885248614213617,0.0885786232104173,0.1393465909090909,0.2134066214254893,0.1730462519936204,0.070345113068354,4
adult,xgboost,baseline,63,0.8707200982650084,[0.27616888],0.1761487078929328,0.1265654167226677,0.0528961017669108,0.0420542892881419,0.1761487078929328,0.1265654167226677,0.1928804064248888,0.181390332385528,0.0700981919714194,4,419,0.8534669999999949,success,adult_sex_race,sex x race,True,0.1761487078929328,0.1265654167226677,0.0528961017669108,0.0420542892881419,0.1928804064248888,0.181390332385528,0.0700981919714194,4
adult,xgboost,baseline,64,0.8699524028865346,[0.25043896],0.1716171364964377,0.0825188237180359,0.0810433794028318,0.0912649250381543,0.1716171364964377,0.0912649250381543,0.2162884671237893,0.1766332339387367,0.0689666839151375,4,419,0.8439962000000065,success,adult_sex_race,sex x race,True,0.1716171364964377,0.0825188237180359,0.0810433794028318,0.0912649250381543,0.2162884671237893,0.1766332339387367,0.0689666839151375,4
adult,xgboost,baseline,65,0.8645785352372178,[0.24881504],0.1681104000329775,0.0874633123689727,0.0932441874735999,0.0390300165977438,0.1681104000329775,0.0874633123689727,0.2161277695518875,0.1007872846108141,0.0654899075957633,4,426,0.8970427000000001,success,adult_sex_race,sex x race,True,0.1681104000329775,0.0874633123689727,0.0932441874735999,0.0390300165977438,0.2161277695518875,0.1007872846108141,0.0654899075957633,4
adult,xgboost,baseline,66,0.8679563949025026,[0.23965337],0.1721335330394597,0.0479933621555526,0.0747863247863247,0.054278815129374,0.1721335330394597,0.054278815129374,0.2171563350304443,0.2142857142857143,0.0668606073162239,4,421,0.8563675999999987,success,adult_sex_race,sex x race,True,0.1721335330394597,0.0479933621555526,0.0747863247863247,0.054278815129374,0.2171563350304443,0.2142857142857143,0.0668606073162239,4
adult,xgboost,baseline,67,0.8659603869184708,[0.23836055],0.1698788962224206,0.0548180151872217,0.0826093466594523,0.0658260006004758,0.1698788962224206,0.0658260006004758,0.2201311763913013,0.2068646864686468,0.0710288280080692,4,406,0.9220632999999978,success,adult_sex_race,sex x race,True,0.1698788962224206,0.0548180151872217,0.0826093466594523,0.0658260006004758,0.2201311763913013,0.2068646864686468,0.0710288280080692,4
adult,xgboost,baseline,68,0.8665745432212498,[0.25599677],0.1787852833794643,0.071843029470148,0.0776628561059699,0.0138820074007615,0.1787852833794643,0.071843029470148,0.2178727365779921,0.0738246973675783,0.0787889736570271,4,443,0.8573888999999966,success,adult_sex_race,sex x race,True,0.1787852833794643,0.071843029470148,0.0776628561059699,0.0138820074007615,0.2178727365779921,0.0738246973675783,0.0787889736570271,4
adult,xgboost,baseline,69,0.8710271764163979,[0.23853674],0.1669419419792121,0.0685775899679642,0.0855336511074215,0.0053303544558191,0.1669419419792121,0.0685775899679642,0.203140882886967,0.0808420647890032,0.0681722718490101,4,446,0.8736959000000013,success,adult_sex_race,sex x race,True,0.1669419419792121,0.0685775899679642,0.0855336511074215,0.0053303544558191,0.203140882886967,0.0808420647890032,0.0681722718490101,4
