dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
adult,gradient_boosting,reweighing,age_group,30,,0.8608731255437843,0.0036906102785759895,0.16006951773603506,0.007785036372351358,0.038446811491963384,0.02722155066509547,0.03579816807119026,0.01566196763732575,0.6732740268491116,0.02258540671712484,0.22689713103707504,0.015959540546339645,0.0781048324330629,0.015444980171541283,0.22689713103707504,0.015959540546339645,0.1768971310370751,0.01595954054633964
adult,gradient_boosting,reweighing,race,30,,0.8618967193817493,0.0035440902900451075,0.0674470386803933,0.013769703702442121,0.03870318755650334,0.029168378850632996,0.022010499915748383,0.014909606366739454,0.35634124497437164,0.06853335550795231,0.12112549278175418,0.02416618512817343,0.042720242050881665,0.015494959364550668,0.12112549278175418,0.02416618512817343,0.07127823776404463,0.02393020059304131
adult,gradient_boosting,reweighing,sex,30,,0.8577306924612315,0.003871604271385586,0.08355783246856431,0.009745605638166004,0.16890052637862146,0.03037624417157141,0.08232602791453658,0.016208471561329724,0.4028522510798223,0.04189530851520326,0.1844091594603862,0.009948114971862461,0.11159479558724078,0.013482461401895183,0.1844091594603862,0.009948114971862461,0.13440915946038617,0.009948114971862461
adult,logistic_regression,ExponentiatedGradient_DP,age_group,30,,0.7942064588771174,0.003736274646504406,0.01664440118013475,0.007422666679901224,0.04030104404768241,0.025165110325417794,0.0478945648832122,0.013054168584187113,0.12693142610068756,0.0566815052380277,0.05794285905292922,0.015639779704852294,0.03494667003700978,0.011802955027848248,0.05794285905292922,0.015639779704852294,0.027134617312827635,0.009386193080823847
adult,logistic_regression,ExponentiatedGradient_DP,race,30,,0.8442243717692821,0.003614034342977294,0.01917936346471583,0.01360534683774069,0.06656979474029458,0.03732275011785428,0.04607223248275926,0.021438693482305683,0.10376869813274583,0.0727900338867896,0.05889752220512888,0.020649812487384296,0.04394046356258989,0.01760404366481827,0.05889752220512888,0.020649812487384296,0.03399095998145507,0.012909793730159536
adult,logistic_regression,ExponentiatedGradient_DP,sex,30,,0.8333128614565741,0.0037094497505942366,0.015442023536561508,0.008854251756691384,0.2985641239433146,0.03063745662130025,0.16734424415468566,0.016958446411943346,0.09438033089988733,0.052808626171084325,0.14393268063361225,0.013609816996942222,0.1604501305448539,0.014390057401794545,0.14393268063361225,0.013609816996942222,0.12033759790864043,0.010792543051345907
adult,logistic_regression,ExponentiatedGradient_EO,age_group,30,,0.838589487691284,0.0032097742585955945,0.13361182652409773,0.008861600677828808,0.03412178779691406,0.021840729409971827,0.022033394014218815,0.013658288128832676,0.5617751473488108,0.025552755632494286,0.18788553892101043,0.013393387776950504,0.06325566944507686,0.012040426536682853,0.18788553892101043,0.013393387776950504,0.13788553892101035,0.013393387776950504
adult,logistic_regression,ExponentiatedGradient_EO,race,30,,0.8483648088438509,0.0038234323468227774,0.06265580048416526,0.016053519550613744,0.03570268999581607,0.03305771909970196,0.020526179594007474,0.015738716970078902,0.3179587353522145,0.07829375958572282,0.10921085135655084,0.024743465415326935,0.039628223357996276,0.016004739256767455,0.10921085135655084,0.024743465415326935,0.05988041908582677,0.02395149675955904
adult,logistic_regression,ExponentiatedGradient_EO,sex,30,,0.8394544244843647,0.0040146534381816775,0.10591324575880273,0.011088311576929487,0.03869543476924091,0.029448237676701825,0.01805786028174112,0.016965300523745744,0.4882623543443874,0.04590192448631473,0.1627322237885431,0.018084481388521423,0.05422218026992826,0.015397107990461354,0.1627322237885431,0.018084481388521423,0.11273222378854307,0.018084481388521423
adult,logistic_regression,baseline,age_group,30,,0.8489124315471623,0.0037074769264915613,0.17293225047026914,0.007458185301686755,0.0451911421692276,0.027728202511664055,0.048817244580966944,0.014219117407895871,0.6672826467449025,0.01951631640446637,0.2335558209913415,0.01437213022545451,0.08898021240682122,0.014595387287200202,0.2335558209913415,0.01437213022545451,0.18355582099134152,0.014372130225454511
adult,logistic_regression,baseline,race,30,,0.8489124315471623,0.0037074769264915613,0.08121504096377322,0.013885638046470757,0.054416832622184504,0.03608308731378308,0.037463803942403874,0.02074151103162388,0.4002374993878994,0.06381901984468717,0.14333329422906524,0.02897202908467161,0.057698559176120524,0.021254192399642147,0.14333329422906524,0.02897202908467161,0.09333329422906525,0.028972029084671613
adult,logistic_regression,baseline,sex,30,,0.8489124315471623,0.0037074769264915613,0.1684861953936376,0.010551901275143652,0.08507585352629146,0.03682461458820446,0.07632030758389044,0.01968550537183269,0.6837472654445933,0.02829529147996316,0.25340740548710317,0.02206767229859261,0.10996078550127317,0.021510043817485256,0.25340740548710317,0.02206767229859261,0.20340740548710323,0.022067672298592612
adult,logistic_regression,equalized_odds,age_group,30,,0.8285787399559853,0.0043675161611769105,0.1168631482405947,0.01038383400988341,0.037266638070842996,0.026535390993893904,0.017432585951146072,0.013288457478430158,0.4663497761900626,0.030970249203096562,0.15947803711316158,0.01398760164427329,0.05718745742086125,0.01333114100987366,0.15947803711316158,0.01398760164427329,0.10947803711316159,0.01398760164427329
